row;referenced_author;referenced_author_id;referenced_work_id;referenced_source_id;
132;Bruere, Martha Bensley;30180;40175;NULL;
133;Hollowood, Bernard;30181;40176;NULL;
134;Cowan, Lore;30182;40177;NULL;
135;Cowan, Maurice;30183;40177;NULL;
136;Goldstein, Jeffrey H.;30184;40178;60060;
137;McGhee, Paul E.;30185;40178;60060;
138;Klapp, O. E.;30186;40179;NULL;
139;Quindlan, Anna;30187;40180;60061;
140;Freud, Anna;30188;40181;NULL;
141;Lippard, Lucy R.;30189;40182;NULL;
142;Bourgeois, Louise;30190;40183;NULL;
143;Rich, Adrienne;30191;40184;60062;
144;The Catalogue Comittee of Artists Meeting for Cultural Change;30192;40185;NULL;
145;no name;11232;40186;60063;
146;Brown, Rita Mae;30193;40187;60064;
147;Small, Margaret;30194;40188;60065;
148;Weil, Simone;30195;40189;NULL;
149;Arendt, Hannah;30196;40190;NULL;
150;Kelly-Gadol, Joan;30197;40191;60066;
151;Weil, Simone;30195;40192;NULL;
152;H. D.;30198;40193;NULL;
153;Woolf, Virginia;30199;40194;NULL;
154;no name;30200;40195;NULL;
155;Woolf, Virginia;30199;40196;NULL;
156;Weil, Simone;30195;40197;NULL;
157;Boserup, E.;30201;40198;NULL;
158;Claiborne, C.;30202;40199;60067;
159;Foster, G.;30203;40200;NULL;
160;Friedlander, Judith;30204;40201;NULL;
161;Martinez-Marin, C.;30205;40202;NULL;
162;Schneider, D.;30206;40203;NULL;
163;Soustelle, J.;30207;40204;NULL;
164;Firestone, Shulamith;30208;40205;NULL;
165;Sand, George;30209;40206;NULL;
166;Akerman, Chantal;30210;40207;60068;
167;Stefan, Verena;30211;40208;NULL;
168;Lippard, Lucy R.;30189;40209;60069;
169;Grafe, Frieda;30212;40210;60070;
170;Plath, Sylvia;30213;40211;NULL;
171;Woolf, Virginia;30199;40212;60071;
172;Richardson, Dorothy;30214;40213;NULL;
173;Murstein, Bernard;30215;40214;NULL;
174;O'Faolain, Julia (Editor);30018;40001;NULL;
175;Martines, Lauro (Editor);30019;40001;NULL;
176;Taylor, Henry Osborn;30216;40215;60072;
177;Baring-Gould, Sabine;30217;40216;NULL;
178;Attwater, Donald;30218;40217;NULL;
179;Ellis, Havelock;30219;40218;60073;
180;Wright, F. A. (Translator);30220;40219;NULL;
181;Sontag, Susan;30221;40220;60074;
182;no name;30222;40221;NULL;
183;no name;30223;40222;60075;
184;Chaucer, Geoffrey;30224;40223;NULL;
185;Boccaccio, Giovanni;30225;40224;NULL;
186;Tolstoy, Leo;30226;40225;NULL;
187;Bridges, Gwendolyn;30227;40226;NULL;
188;Utter, Robert;30228;40226;NULL;
189;Bloch, Iwan;30229;40227;NULL;
190;no name;30230;40228;60076;
191;Ruskin, John;30231;40229;60077;
192;De Stael, Germaine;30232;40230;60078;
193;Benjamin, Walter;30233;40231;NULL;
194;Morris, Ivan;30234;40232;NULL;
195;Shonagon, Sei;30235;40233;NULL;
196;Shikibu, Murasaki;30236;40234;NULL;
197;Keene, Donald;30237;40235;60079;
198;Tyler, Parker;30238;40236;60080;
199;Hall, J. W.;30239;40237;NULL;
200;Keene, Donald;30237;40238;NULL;
201;Sansom, G. B.;30240;40239;NULL;
202;Cambria, Adele;30269;40262;NULL;
203;Gramsci, Antonio;30270;40263;NULL;
204;Hoare, Quintin (Editor);30271;40264;NULL;
205;Nowell, Geoffrey (Editor);30272;40264;NULL;
206;Gramsci, Antonio;30270;40265;NULL;
207;Gramsci, Antonio;30270;40266;NULL;
208;Eco, Umberto;30273;40267;NULL;
209;Heath, Stephen;30274;40268;60095;
210;Kollontai, Aleksandra;30139;40269;NULL;
211;Kollontai, Aleksandra;30139;40270;NULL;
212;Eco, Umberto;30273;40271;NULL;
213;Bettetini, Gianfranco;30275;40272;NULL;
214;Maraini, Dacia;30276;40273;60096;
215;Hjelmslev, Louis;30277;40274;NULL;
216;Bovenschen, Silvia;30252;40251;60085;
217;Gayle, Rubin;30278;40275;60027;
218;Anderson, Johannes C.;30290;40296;NULL;
219;Averkieva, Julia;30291;40297;60108;
220;Benedict, Ruth;30292;40298;NULL;
221;Bird, J.;30293;40299;60109;
222;Bird, J.;30293;40300;NULL;
223;Bellinger, L.;30294;40300;NULL;
224;Boas, Franz;30295;40301;NULL;
225;Chaplin, D.;30296;40302;NULL;
226;Cowan, James;30297;40303;NULL;
227;Cowan, James;30297;40304;NULL;
228;Denney, G.;30298;40305;NULL;
229;Osborne, C.;30299;40305;NULL;
230;Burnham, Jack;30300;40306;NULL;
231;Dockstadter, Frederick J.;30301;40307;60110;
232;Drucker, Philip;30302;40308;NULL;
233;Fiske, P. L. (Editor);30303;40309;NULL;
234;Fraser, Douglas;30304;40310;NULL;
235;Gayton, A. H.;30305;40311;60111;
236;Goldwater, Robert;30306;40312;NULL;
237;Harris, Ann Sutherland;30307;40313;NULL;
238;Nochlin, Linda;30308;40313;NULL;
239;Heuer, Berys;30309;40314;NULL;
240;James, George Wharton;30310;40315;NULL;
241;Kahlenberg, Mary;30311;40316;NULL;
242;Berlant, Anthony;30312;40316;NULL;
243;Kellogg, Mrs. Charlotte;30313;40317;NULL;
244;King, M. E.;30314;40318;NULL;
245;Mead, C.;30315;40319;NULL;
246;Murra, J.;30316;40320;60112;
247;Palliser, Mrs. Fanny;30317;40321;NULL;
248;Paz, Octavio;30318;40322;NULL;
249;Phillips, W. J.;30319;40323;NULL;
250;Reichard, Gladys;30320;40324;NULL;
251;Reichard, Gladys;30320;40325;NULL;
252;Schneider, Peggy;30321;40326;NULL;
253;Stafford, C. E.;30322;40327;NULL;
254;Vreeland, J.;30323;40328;NULL;
255;Warble, Patricia;30324;40329;NULL;
256;Wingert, Paul S.;30325;40330;NULL;
257;Bell, Q.;30326;40331;NULL;
258;National Collection of Fine Arts;30327;40332;NULL;
259;Cohen, A. A.;30328;40333;NULL;
260;Kavanaugh, Mary Oldham Eagle (Editor);30329;40334;NULL;
261;Osgood, Mrs. Frances S.;30330;40335;NULL;
262;Hale, Mrs. Sarah Josepha;30331;40336;NULL;
263;Hawthorne, Nathaniel;30332;40337;NULL;
264;Dumont, Henrietta;30333;40338;NULL;
265;Gerdts, William H.;30334;40339;NULL;
266;Burke, Russell;30335;40339;NULL;
267;Osgood, Mrs. Frances S.;30330;40340;NULL;
268;Oakley, C. A.;30336;40341;NULL;
269;Howarth, T.;30337;40342;NULL;
270;Barnes, H. Jefferson;30338;40343;NULL;
271;no name;30339;40344;NULL;
272;no name;30340;40345;NULL;
273;no name;30341;40346;NULL;
274;no name;30342;40347;NULL;
275;Schmultzer, R.;30343;40348;NULL;
276;Robineau, Samuel E.;30344;40349;60114;
277;Doat, Taxile;30345;40350;NULL;
278;Curran, Grace Wickham;30346;40351;60115;
279;Evans, Paul;30347;40352;NULL;
280;Robineau, Adelaide Alsop;30348;40353;60116;
281;no name;30349;40354;NULL;
282;Robineau, Adelaide Alsop;30348;40355;NULL;
283;Wingler, Hans M.;30350;40356;NULL;
284;Bayer, Herbert;30351;40357;NULL;
285;Gropius, Ise;30352;40357;NULL;
286;Gropius, Walter;30353;40357;NULL;
287;Baro, Gene;30354;40358;NULL;
288;Albers, Anni;30355;40359;NULL;
289;Neumann, Eckhard;30356;40360;NULL;
290;no name;30357;40361;NULL;
291;no name;30358;40362;60117;
292;Broude, Norma;30359;40363;60118;
293;Friedlander, Walter;30360;40364;NULL;
294;Freedberg, Sydney J.;30361;40365;NULL;
295;Griffith, Ruby Mae;30362;40366;NULL;
296;Griffith, Frank B.;30363;40366;NULL;
297;Aldrich, Dot;30364;40367;NULL;
298;Williams, Hazel Pearson;30365;40368;NULL;
299;Hammond, Harmony;30366;40369;60062;
300;Hammond, Harmony;30366;40370;60119;
301;Metzger, Deena;30367;40371;60120;
302;Hiler, Hilaire;30368;40372;NULL;
303;Evans, Paul;30347;40373;NULL;
304;Sutherland, Anne;30370;40374;NULL;
305;Barton, Lucy;30371;40375;NULL;
306;Earle, Alice Morse;30372;40376;NULL;
307;Caplan, L.;30373;40377;NULL;
308;Aziz, Barbara Nimri;30374;40378;NULL;
309;Jones, R.;30375;40379;NULL;
310;Jones, S. K.;30376;40379;NULL;
311;Barrow, Terry;30377;40380;NULL;
312;Buhler, Alfred;30378;40381;NULL;
313;Mountford, Charles;30379;40381;NULL;
314;Barrow, Terry;30377;40381;NULL;
315;Carpenter, Edmund;30380;40382;NULL;
316;Bascom, William;30381;40383;60121;
317;Fraser, Douglas;30304;40384;NULL;
318;Whiteford, Andrew H.;30382;40385;60110;
319;Cox, Halley;30383;40386;NULL;
320;Davenport, William;30384;40386;NULL;
321;Linton, Ralph;30385;40387;60122;
322;Walker, Roslyn A.;30386;40388;NULL;
323;Bascom, William;30381;40389;60123;
324;Rattray, Robert S.;30387;40390;NULL;
325;Sieber, Roy;30388;40391;NULL;
326;Messenger, John C.;30389;40392;60121;
327;Lewis, Philip H.;30390;40393;NULL;
328;Gerbrands, Adrian A.;30391;40394;NULL;
329;Thompson, Robert;30392;40395;60123;
330;Graburn, Nelson H.;30393;40396;60124;
331;Muensterberger, Walter;30394;40397;60125;
332;Handy, E. S. Craighill;30395;40398;60126;
333;Douglas, Mary;30396;40399;NULL;
334;Meek, C. K.;30397;40400;NULL;
335;Kubler, George;30398;40401;NULL;
336;McCarthy, Frederick D.;30399;40402;60127;
337;Vequaud, Yves;30400;40403;NULL;
338;Stendhal, Renate;30401;40404;60128;
339;Betaille, Andre;30402;40405;NULL;
340;Madan, T. N.;30403;40405;NULL;
341;Cormack, Margaret;30404;40406;NULL;
342;Das, Frieda Hauswirth;30405;40407;NULL;
343;Mandelbaum, D. G.;30406;40408;NULL;
344;Masani, Mehra;30407;40409;60129;
345;Mies, Maria;30408;40410;60130;
346;Minturn, L.;30409;40411;NULL;
347;Hitchcock, J.;30410;40411;NULL;
348;Mody, Susan;30411;40412;60130;
349;Mhatre, Sharayu;30412;40412;60130;
350;Omvedt, Gail;30413;40413;60130;
351;U. N. Department of Economic and Social Affairs;30414;40414;NULL;
352;Irwin, John;30415;40415;NULL;
353;Anand, Mulk Raj;30416;40416;60131;
354;Orchard, William C.;30417;40417;NULL;
355;Grinnell, George Bird;30418;40418;NULL;
356;Lyford, Carrie H.;30419;40419;NULL;
357;Harkeson, Georgiana Brown;30420;40420;NULL;
358;Sandoz, Mari;30421;40421;NULL;
359;Powell, Peter J.;30422;40422;60132;
360;Spooner, Brian;30423;40423;60133;
361;MacGaffey, Janet;30424;40424;60134;
362;Textor, Robert B.;30425;40425;NULL;
363;Murdock, George P.;30426;40426;60135;
364;Provost, Caterina;30427;40426;60135;
365;Swantz, Marja-Liisa;30428;40427;NULL;
366;Talbot, P. Amaury;30429;40428;NULL;
367;Cole, Herbert M.;30430;40429;60136;
368;Cole, Herbert M.;30430;40430;60137;
369;Cole, Herbert M.;30430;40431;60138;
370;Cory, Hans;30431;40432;NULL;
371;Glaze, Anita;30432;40433;60139;
372;Ardener, Shirly;30433;40434;60140;
373;Twala, Regina;30434;40435;60141;
374;Imperator, Pascal James;30435;40436;60142;
375;Shamir, Marli;30436;40436;60142;
376;Reichlin, Seth;30437;40437;NULL;
377;Lomax, Alan;30438;40438;NULL;
378;Paulay, Forrestine;30439;40438;NULL;
379;Coote, Mary P.;30440;40439;60143;
380;McLeod, Norma;30441;40440;60144;
381;Herndon, Marcia;30442;40440;60144;
382;Carlisle, Roxanne Connick;30443;40441;60145;
383;Bandler, Jane;30444;40442;60146;
384;Bandler, Donald;30445;40442;60146;
385;Kooijman, Simon;30446;40443;60147;
386;Etienne, Mona;30447;40444;60148;
387;Bunzel, Ruth;30448;40445;NULL;
388;O'Neale, Lila M.;30449;40446;60149;
389;Shange, Ntosake;30450;40447;NULL;
390;Rennie, Susan;30451;40448;60150;
391;Grimstad, Kirsten;30452;40448;60150;
392;Geertz, Clifford;30453;40449;60151;
393;Kaufman, Georgia;30454;40450;NULL;
394;Daly, Mary;30455;40451;NULL;
395;Ruether, Rosemary;30456;40452;NULL;
396;Kramer, Heinrich;30457;40453;NULL;
397;Sprenger, Jacob;30458;40453;NULL;
398;Gross, Rita M.;30459;40454;NULL;
399;Chicago, Judy;30460;40455;NULL;
400;Rich, Adrienne;30191;40456;NULL;
401;Lederer, Wolfgang;30461;40457;NULL;
402;no name;30462;40458;60153;
403;Mellaart, James;30463;40459;NULL;
404;MyOwn, Barbry;30464;40460;60154;
405;Goldstein, Valerie S.;30465;40461;60155;
406;Langley, Jeffrey;30466;40462;NULL;
407;Near, Holly;30467;40462;NULL;
408;Eliade, Mircea;30468;40463;NULL;
409;Lippard, Lucy R.;30189;40464;60156;
410;Gumpert, Margi;30469;40465;60157;
411;Mountaingrove, Jean;30470;40466;60158;
412;Mountaingrove, Ruth;30471;40467;;
413;Culpepper, Emily;30472;40467;60159;
414;Reed, Henry (Editor);30473;40468;NULL;
415;Thompson, J. Eric;30474;40469;NULL;
416;Daly, Mary;30455;40470;60160;
417;Vogt, Evon;30475;40471;NULL;
418;Tiger, Lionel;30476;40472;NULL;
419;Paz, Octavio;30318;40473;60161;
420;Schechner, Richard;30477;40474;NULL;
421;Turner, Victor;30478;40475;NULL;
422;Waters, Frank;30479;40476;NULL;
423;Adams, Henry;30480;40477;NULL;
424;Auropublications;30481;40478;NULL;
425;Bord, Janet;30482;40479;NULL;
426;Borst, Lyle B.;30483;40480;NULL;
427;Borst, Barbara M.;30484;40480;NULL;
428;Charpentier, Louis;30485;40481;NULL;
429;Dames, Michael;30486;40482;NULL;
430;Dames, Michael;30486;40483;NULL;
431;Garlake, Peter;30487;40484;NULL;
432;Gimbutas, Marija;30488;40485;NULL;
433;Hawkes, Jaquetta;30489;40486;NULL;
434;Jayne, Walter Addison;30490;40487;NULL;
435;Kerenyi, C.;30491;40488;NULL;
436;Kramer, Samuel Noah;30492;40489;NULL;
437;Levy, Rachel;30493;40490;NULL;
438;Love, Iris;30494;40491;NULL;
439;MacQuitty, William;30495;40492;NULL;
440;Marshack, William;30496;40493;NULL;
441;Masuda, Tomoya;30497;40494;NULL;
442;Mellaart, James;30498;40495;NULL;
443;Mellaart, James;30498;40496;NULL;
444;Michell, John;30499;40497;NULL;
445;Michell, John;30499;40498;NULL;
446;Mylonas, George;30500;40499;NULL;
447;Norelli-Bachellet, Patrizia;30501;40500;NULL;
448;Piggot, Stuart;30502;40501;NULL;
449;Purce, Jill;30503;40502;NULL;
450;Schwenk, Theodor;30504;40503;NULL;
451;Scully, Vincent;30505;40504;NULL;
452;Stone, Merlin;30506;40505;NULL;
453;Underwood, Guy;30507;40506;NULL;
454;von Cles-Reden, Sibylle;30508;40507;NULL;
455;Witt, R. E.;30509;40508;NULL;
456;Collins, Sheila D.;30510;40509;NULL;
457;Davis, Elizabeth Gould;30511;40510;NULL;
458;no name;30512;40511;NULL;
459;Thompson, William Irvin;30513;40512;NULL;
460;James, E. O.;30514;40513;NULL;
461;Sayre, Anne;30515;40514;NULL;
462;Ferguson, George;30516;40515;NULL;
463;von Franz, Marie Louise;30517;40516;NULL;
464;Toth, Max;30518;40517;NULL;
465;Nielsen, Greg;30519;40517;NULL;
466;no name;30520;40518;NULL;
467;Purce, Jill;30503;40502;NULL;
468;Wood, Ernest;30521;40520;NULL;
469;no name;30522;40521;NULL;
470;Graves, Robert;30523;40522;NULL;
471;Varenne, Jean;30524;40523;NULL;
472;no name;30525;40524;NULL;
473;Graves, Robert;30523;40525;NULL;
474;Balinsky, B. I.;30526;40526;NULL;
475;Balls, M. (Editor);30527;40526;NULL;
476;Wild, A. E. (Editor);30528;40527;NULL;
477;Dobszhansky, Theodosius;30529;40528;NULL;
478;Austin, C. R.;30530;40529;NULL;
479;von Franz, Marie Louise;30517;40530;NULL;
480;Eliade, Mircea;30468;40531;NULL;
481;Eliade, Mircea;30468;40532;NULL;
482;Eliade, Mircea;30468;40533;NULL;
483;Chadwick, John;30531;40534;NULL;
484;Layard, John;30532;40535;NULL;
485;Johnson, Buffie;30533;40536;60162;
486;Boyd, Tracy;30534;40536;60162;
487;Neumann, Erich;30535;40537;NULL;
488;Stevenson, Mrs. Sinclair;30536;40538;NULL;
489;Budge, Sir E. A. Wallis;30537;40539;NULL;
490;Harrison, Jane Ellen;30538;40540;NULL;
491;Neumann, Erich;30535;40541;NULL;
492;Budge, Sir E. A. Wallis;30537;40542;NULL;
493;Barb, A. A.;30539;40543;60163;
494;Budge, Sir E. A. Wallis;30537;40544;NULL;
495;Budge, Sir E. A. Wallis;30537;40545;NULL;
496;Campbell, Joseph;30540;40546;NULL;
497;Trachtenbert, Joshua;30541;40547;NULL;
498;de Gubernatis, Angelo;30542;40548;NULL;
499;Jung, C. G.;30543;40549;NULL;
500;Singer, June;30544;40550;NULL;
501;Jacobi, Jolande;30545;40551;NULL;
502;Lobell, Mimi;30546;40552;60164;
503;no name;30547;40553;60165;
504;Moon, Sheila;30548;40554;NULL;
505;Henes, Donna;30549;40555;60162;
506;Damon, Betsy;30550;40556;60119;
507;Raven, Arlene;30551;40557;60166;
508;Rennie, Susan;30552;40557;60166;
509;Budnik, Dan;30553;40558;60167;
510;Hewett, Edgar L.;30554;40559;NULL;
511;Hibben, Frank C.;30555;40560;NULL;
512;Jackson, J. B.;30556;40561;60168;
513;Katchongva, Dan;30557;40562;NULL;
514;Kubler, George;30398;40563;NULL;
515;Nequatewa, Edmund;30557;40564;NULL;
516;Scully, Vincent;30558;40565;NULL;
517;Silverberg, Robert;30559;40566;NULL;
518;Thompson, Laura;30560;40567;NULL;
519;Thompson, Laura;30560;40568;NULL;
520;Alice Joseph;30561;40568;NULL;
521;U.S. Federal Trade Comission, Bureau of Competition;30562;40569;NULL;
522;Hosken, Fran;30563;40570;60169;
523;Barker-Benfield, G. J.;30564;40571;60170;
524;Mode, Heinz;30565;40572;NULL;
525;Ehrenfels, O. R.;30566;40573;NULL;
526;Campbell, Joseph;30540;40574;NULL;
527;Wheeler, Sir Mortimer;30567;40575;NULL;
528;Bussagli, Mario (Editor);30568;40576;NULL;
529;Thomas, P.;30569;40577;NULL;
530;Kosambi, D.D.;30570;40578;NULL;
531;Frazer, Sir James George;30571;40579;NULL;
532;Bhattacharyya, N. N.;30572;40580;NULL;
533;Hastings, James (Editor);30573;40581;NULL;
534;Thompson, G.;30574;40582;NULL;
535;Lacey, Louise;30575;40583;60154;
536;Eliade, Mircea;30468;40584;NULL;
537;Kosambi, D.D.;30570;40585;NULL;
538;Thomas, Lowell;30576;40586;NULL;
539;Radin, Paul;30577;40587;NULL;
540;Ehrenreich, Barbara;30578;40588;NULL;
541;English, Deirdre;30579;40588;NULL;
542;Pommerenke, Millicent;30580;40589;NULL;
543;Thomas, P.;30581;40590;NULL;
544;Dikshit, S. K.;30582;40591;NULL;
545;Mookerjee, Ajit;30583;40592;NULL;
546;Goldberg, B.Z.;30584;40593;NULL;
547;Briffault, Robert;30585;40594;NULL;
548;Prof. Indra;30586;40595;NULL;
549;Rawson, Philip;30587;40596;NULL;
550;Thurston, Edgar;30588;40597;60171;
551;Rangarchari, K.;30589;40597;60171;
552;Risley, H. H.;30590;40598;60171;
553;Hellman, Louise (Editor);30591;40599;NULL;
554;Department of Social Welfare, Govt. of India;30592;40600;NULL;
555;Verzin, J. A.;30593;40601;60172;
556;Shandall, A. Abu el Futuh;30594;40602;60173;
557;Lantier, Jaques;30595;40603;NULL;
558;de Villeneuve, Annie;30596;40604;60174;
559;Pieters, Guy;30597;40605;60175;
560;Cook, R.;30598;40606;NULL;
561;no name;30599;40607;NULL;
562;Ogunmodede, Esther;30600;40608;60176;
563;no name;30601;40609;60177;
564;no name;30602;40610;60177;
565;Hosken, Fran;30563;40611;60178;
566;Huber, Alfons;30603;40612;60179;
567;Longo, Lawrence D.;30604;40613;60180;
568;Hosken, Fran;30563;40614;60181;
569;Hosken, Fran;30563;40615;60182;
570;Hansen, Henny Harald;30605;40616;Folk, Vol. 14-15;
571;Hayes, Rose Oldfield;30606;40617;American Ethnologist, Vol. 2, No. 4;
572;Taoko, Jean G.;30607;40618;Famille et Developpment;
573;Russell, Diana E. H. (Editor);30608;40619;NULL;
574;Van de Ven, Nicole (Editor);30609;40619;NULL;
575;Gayle, Rubin;30278;40275;60027;
576;Gough, Kathleen;30611;40621;60187;
577;Sacks, Karen;30612;40622;60188;
578;Rohrlich-Leavitt, Ruby;30613;40623;60189;
579;Sykes, Barbara;30614;40623;60189;
580;Weatherford, Elizabeth;30041;40623;60189;
581;Leacock, Eleanor;30615;40624;60187;
582;Murphy, Yolanda;30616;40625;NULL;
583;Murphy, Robert;30617;40625;NULL;
584;Desanti, Dominique;30618;40626;NULL;
585;Viezzer, Moema (Editor);30619;40627;NULL;
586;Hitler, Adolf;30620;40628;NULL;
587;Noakes, Jeremy;30621;40629;NULL;
588;Pridham, Geoffrey;30622;40629;NULL;
589;Gilder, George;30623;40630;NULL;
590;Goldberg, Steven;30624;40631;NULL;
591;Wilson, Edward O.;30625;40632;NULL;
592;Bullough, Vern L.;30626;40633;NULL;
593;Masters, R.E.L.;30627;40634;NULL;
594;Lea, Eduard;30628;40634;NULL;
595;Kiefer Otto;30629;40635;NULL;
596;Pomeroy, Sarah B.;30630;40636;NULL;
597;Goodsell, Willystine;30631;40637;NULL;
598;Westermark, Edward;30632;40638;NULL;
599;Gordon, Linda;30633;40639;60188;
600;Hunter, Allen;30634;40639;60188;
601;Tangri, S. Schwartz;30635;40640;60066;
602;Gordon, Linda;30633;40641;NULL;
603;Bremner, W. J.;30636;40642;60189;
604;Kretser, D. M.;30637;40642;60189;
605;Sartwell, P. E.;30638;40643;60190;
606;Tietze, C.;30639;40644;60191;
607;Lewit, S.;30640;40644;60191;
608;no name;30641;40645;60192;
609;no name;30642;40646;60193;
610;Mishell, D. R.;30643;40647;60194;
611;no name;30644;40648;60195;
612;no name;30645;40649;60196;
613;Mass, Bonnie;30646;40650;NULL;
614;Barclay, W.;30647;40651;60197;
615;Enright, J.;30648;40651;60197;
616;Reynold, R. T.;30649;40651;60197;
617;Segal, B.;30650;40652;60198;
618;Hamelstein, H.;30651;40652;60198;
619;no name;30652;40653;60197;
620;Centre for Economic & Social Information/OPI for the World Population Conference, United Nations;30653;40654;60198;
621;Hardin, G.;30654;40655;60199;
622;Wishik, S.;30655;40656;60200;
623;Ad Hoc Women's Studies Committee Against Sterilization Abuse;30656;40657;60201;
624;The Boston Women's Health Book Collective;30657;40658;NULL;
625;Caress, Barbara;30658;40659;60201;
626;Caress, Barbara;30658;40660;60202;
627;Chase, Allen;30659;40661;NULL;
628;Corea, Gena;30660;40662;60203;
629;Kelly, Joan;30661;40663;60204;
630;no name;30662;40664;NULL;
631;Littlewood, Thomas;30663;40665;NULL;
632;Rodriguez-Trias, Helen;30664;40666;60205;
633;Seaman, Barbara;30665;40667;NULL;
634;Seaman, Gideon;30666;40667;NULL;
635;Andy, O. J.;30667;40668;60206;
636;Vernon, Mark;30668;40669;60207;
637;Sweet, W. H.;30669;40669;60207;
638;Ervin, Frank;30670;40669;60207;
639;Vernon, Mark;30668;40670;NULL;
640;Ervin, Frank;30670;40670;NULL;
641;Breggin, Peter;30671;40671;60208;
642;Freeman, Walter;30672;40672;NULL;
643;Heath, Robert G.;30673;40673;60209;
644;Delgado, Jose;30674;40674;NULL;
645;Waggoner, Karen;30675;40675;60210;
646;McConell, James V.;30676;40676;60211;
647;Gray, Camilla;30677;40677;NULL;
648;Laing, R. D.;30698;40697;NULL;
649;Frois, Marcel;30699;40698;NULL;
650;Uzanne, Octave;30700;40699;NULL;
651;Gonnard, Rene;30701;40700;NULL;
652;Leroy-Beaulieu, Paul;30702;40701;NULL;
653;Zeldin, Theodore;30703;40702;NULL;
654;Cabanne, Pierre;30704;40703;NULL;
655;Zola, Emile;30705;40704;NULL;
656;Montorgueil, Georges;30706;40705;NULL;
657;Zevaes, Alexandre;30707;40706;NULL;
658;Hobsbawm, E. J.;30708;40707;NULL;
659;Thomas, Edith;30126;40708;NULL;
660;Williams, Raymond;30688;40709;NULL;
661;Benjamin, Walter;30233;40710;60221;
662;Sartre, Jean-Paul;30709;40711;NULL;
663;Shier, Alan;30710;40712;NULL;
664;Franklin, Bruce;30711;40713;NULL;
665;Greenberg;30712;40714;60222;
666;no name;30713;40715;60223;
667;no name;30714;40716;60224;
668;no name;30715;40717;60225;
669;no name;30716;40718;60226;
670;Simon, R.;30717;40719;NULL;
671;Hartman, M.;30718;40720;NULL;
672;Rasche;30719;40721;60227;
673;Klein;30720;40722;60228;
674;Adler, F.;30721;40723;NULL;
675;Rottman;30722;40724;60229;
676;Simon, R.;30717;40724;60229;
677;Price;30723;40725;60230;
678;DeFrancis;30724;40726;60231;
679;Rush;30725;40727;60232;
680;no name;30726;40728;60233;
681;Brownmiller, S.;30727;40729;NULL;
682;Queens Bench Foundation;30728;40730;NULL;
683;St Louis Feminist Research Project;30729;40731;NULL;
684;Kalven, H.;40734;40732;NULL;
685;Zeisel, H.;40735;40732;NULL;
686;MacDonald, J.;40736;40733;NULL;
687;Langley, R.;30730;40737;NULL;
688;Levy, R.;30731;40737;NULL;
689;Lerner, Gerda;30732;40738;NULL;
690;LaFave, W.;30733;40739;NULL;
691;Scott, A.;30734;40739;NULL;
692;Perkins, R.;30735;40740;NULL;
693;Curtin, J.;30736;40741;NULL;
694;Kates, D.;30737;40741;NULL;
695;Babcock, B.;30738;40742;NULL;
696;Freedman, A.;30739;40742;NULL;
697;Norton, E.;30740;40742;NULL;
698;Ross, S.;30741;40742;NULL;
699;Bardwick J.;30742;40743;60234;
700;Consentino;30743;40744;60234;
701;Heilbrun;30744;40744;60234;
702;Chesler, P.;30745;40745;NULL;
703;Derosis, H.;30746;40746;NULL;
704;Pellegrino, V.;30747;40746;NULL;
705;no name;30748;40747;60235;
706;no name;30749;40748;60236;
707;Harris;30750;40749;60237;
708;Walker;30751;40750;NULL;
709;Wilding, Faith;30752;40751;NULL;
710;Daly, Mary;30455;40752;NULL;
711;Love, Barbara;30753;40753;60238;
712;Shanklin, Elizabeth;30754;40753;60238;
713;Slote, Jesse;30755;40753;60238;
714;Spretnak, Charlene;30756;40754;NULL;
715;Hall, Nor;30757;40755;NULL;
716;Budapest, Zsuzsanna;30758;40756;NULL;
717;Lorenzano, Neomi;30774;40773;NULL;
718;Paz, Octavio;30318;40774;NULL;
719;Ridell, A. S.;30775;40775;NULL;
720;Gonzales, Sylvia;30776;40776;NULL;
721;Sanchet-Vasquez, A.;30777;40777;NULL;
722;Moreno, Dorinda;30778;40778;NULL;
723;Astrov, Margot;30779;40779;NULL;
724;Kavanaugh, Mary Oldham Eagle (Editor);30329;40780;NULL;
725;Davis, Elizabeth Lindsay;30780;40781;NULL;
726;U.S. Department of Commerce, Bureau of the Census;30781;40782;NULL;
727;no name;30782;40783;NULL;
728;Wallace, Phyllis A.;30783;40784;NULL;
729;Chapin, David;30784;40785;NULL;
730;National Science Foundation;30785;40786;NULL;
731;Southern, Eileen;30786;40787;NULL;
732;Hare, Maud Cuney;30787;40788;NULL;
733;Work, John W.;30788;40789;NULL;
734;Smith, Eleanor;30789;40790;NULL;
735;Landeck, Beatrice;30790;40791;NULL;
736;Jones, LeRoi;30791;40792;NULL;
737;Johnson, James Weldon;30792;40793;NULL;
738;Johnson, J. Rosamond;30793;40793;NULL;
739;Allen, William F.;30794;40794;NULL;
740;Ware, Charles P.;30795;40794;NULL;
741;Garrison, Lucy M.;30796;40794;NULL;
742;Hindeland, Michael J.;30797;40795;NULL;
743;Dunn, Christopher S.;30798;40795;NULL;
744;McGowan, Brenda;30799;40796;NULL;
745;Blumenthal, Karen J.;30800;40796;NULL;
746;Barron, M. L.;30801;40797;NULL;
747;Conrat, Maisie;30802;40798;NULL;
748;Conrat, Richard;30803;40798;NULL;
